Variant Grouping,_Identifier,Lineage,%CT Count of Sample #,Collection Date
VOC,Alpha,B.1.1.7,0.554,2021-05-09
VOC,Alpha,B.1.1.7,0.53,2021-05-16
VOC,Alpha,B.1.1.7,0.535,2021-05-23
VOC,Alpha,B.1.1.7,0.557,2021-05-30
VOC,Alpha,B.1.1.7,0.515,2021-06-06
VOC,Alpha,B.1.1.7,0.412,2021-06-13
VOC,Alpha,B.1.1.7,0.434,2021-06-20
VOC,Alpha,B.1.1.7,0.226,2021-06-27
VOC,Alpha,B.1.1.7,0.278,2021-07-04
VOC,Alpha,B.1.1.7,0.065,2021-07-11
VOC,Alpha,B.1.1.7,0.016,2021-07-18
VOC,Beta,B.1.351,0.009,2021-05-09
VOC,Beta,B.1.351,0.008,2021-05-16
VOC,Beta,B.1.351,0.003,2021-05-23
VOC,Beta,B.1.351,0.007,2021-05-30
VOC,Beta,B.1.351,0.002,2021-06-06
VOC,Beta,B.1.351,0.003,2021-06-13
VOC,Beta,B.1.351,0.006,2021-06-20
VOC,Beta,B.1.351,0.008,2021-06-27
VOC,Beta,B.1.351,0.006,2021-07-04
VOC,Beta,B.1.351,0.004,2021-07-11
VOC,Beta,B.1.351.3,0.001,2021-05-09
VOC,Beta,B.1.351.3,0,2021-05-16
VOC,Beta,B.1.351.3,0.001,2021-05-30
VOC,Beta,B.1.351.3,0.003,2021-06-20
VOC,Delta,AY.2,0.001,2021-07-11
VOC,Delta,AY.3,0.002,2021-05-09
VOC,Delta,AY.3,0.003,2021-05-16
VOC,Delta,AY.3,0.002,2021-05-23
VOC,Delta,AY.3,0.004,2021-05-30
VOC,Delta,AY.3,0.006,2021-06-06
VOC,Delta,AY.3,0.017,2021-06-13
VOC,Delta,AY.3,0.014,2021-06-20
VOC,Delta,AY.3,0.018,2021-06-27
VOC,Delta,AY.3,0.024,2021-07-04
VOC,Delta,AY.3,0.025,2021-07-11
VOC,Delta,AY.3,0.081,2021-07-18
VOC,Delta,B.1.617.2,0.081,2021-05-09
VOC,Delta,B.1.617.2,0.099,2021-05-16
VOC,Delta,B.1.617.2,0.139,2021-05-23
VOC,Delta,B.1.617.2,0.16,2021-05-30
VOC,Delta,B.1.617.2,0.225,2021-06-06
VOC,Delta,B.1.617.2,0.343,2021-06-13
VOC,Delta,B.1.617.2,0.355,2021-06-20
VOC,Delta,B.1.617.2,0.596,2021-06-27
VOC,Delta,B.1.617.2,0.545,2021-07-04
VOC,Delta,B.1.617.2,0.81,2021-07-11
VOC,Delta,B.1.617.2,0.855,2021-07-18
VOC,Gamma,P.1,0.244,2021-05-09
VOC,Gamma,P.1,0.283,2021-05-16
VOC,Gamma,P.1,0.237,2021-05-23
VOC,Gamma,P.1,0.207,2021-05-30
VOC,Gamma,P.1,0.148,2021-06-06
VOC,Gamma,P.1,0.117,2021-06-13
VOC,Gamma,P.1,0.081,2021-06-20
VOC,Gamma,P.1,0.112,2021-06-27
VOC,Gamma,P.1,0.101,2021-07-04
VOC,Gamma,P.1,0.043,2021-07-11
VOC,Gamma,P.1,0.016,2021-07-18
VOC,Gamma,P.1.1,0.004,2021-05-09
VOC,Gamma,P.1.1,0.002,2021-05-16
VOC,Gamma,P.1.1,0.005,2021-05-23
VOC,Gamma,P.1.1,0.006,2021-05-30
